param,correlated_with,pearson_r,p_value,n_readers
alpha1_reichle,mean_RT,0.7618673174653533,0.0015411420311551391,14
alpha1_reichle,n_train_words,0.1778847272856522,0.54291327557275,14
alpha1_reichle,fit_loss,0.5802923555181628,0.029586264161833842,14
alpha2_reichle,mean_RT,0.7945440363662909,0.000686296336177169,14
alpha2_reichle,n_train_words,0.15558784123600988,0.5953266350470567,14
alpha2_reichle,fit_loss,0.46537454433769243,0.09356115504117075,14
delta,mean_RT,0.8982835828910655,1.28009485504472e-05,14
delta,n_train_words,0.15042223616076875,0.6077480374976906,14
delta,fit_loss,0.6523169602040185,0.011457281682485354,14
epsilon,mean_RT,0.7459776005379269,0.0021868401209597646,14
epsilon,n_train_words,0.26134151284277973,0.3667853409552462,14
epsilon,fit_loss,0.5701740981463782,0.03326042224138108,14
M1,mean_RT,-0.1515668068792865,0.6049871135165564,14
M1,n_train_words,-0.9949608363319895,2.3385600842383796e-13,14
M1,fit_loss,-0.14432149724392204,0.6225455707338989,14
M2_eq_I,mean_RT,-0.0490608996457245,0.8677218560543476,14
M2_eq_I,n_train_words,-0.9785981437413056,1.3249493748347364e-09,14
M2_eq_I,fit_loss,-0.07962381921932934,0.786716150139901,14
lambda_refix,mean_RT,-0.7917131304784789,0.0007401267148462862,14
lambda_refix,n_train_words,-0.019783940751252928,0.9464791743166746,14
lambda_refix,fit_loss,-0.6102772477246116,0.020462211608955973,14
refix_pivot,mean_RT,-0.8622339988105381,7.287095797069898e-05,14
refix_pivot,n_train_words,-0.12928440779385844,0.6595792971174972,14
refix_pivot,fit_loss,-0.6574067978713101,0.010619729831453404,14
skip_temperature,mean_RT,0.007766611560435853,0.9789776533143048,14
skip_temperature,n_train_words,0.9464528106006004,3.0307410561276035e-07,14
skip_temperature,fit_loss,-0.04926491227906889,0.8671762294467438,14
alpha1_reichle,alpha2_reichle,0.9572682702426685,8.01475605129585e-08,14
alpha1_reichle,delta,0.8765841978796783,3.890434242350291e-05,14
alpha1_reichle,epsilon,0.990357470352557,1.136703567747675e-11,14
alpha1_reichle,M1,-0.11389527396802113,0.6982450307064826,14
alpha1_reichle,M2_eq_I,-0.009982551907199148,0.972981407639469,14
alpha1_reichle,lambda_refix,-0.7698861131636129,0.0012787693827919708,14
alpha1_reichle,refix_pivot,-0.8488563801363241,0.00012326761726894604,14
alpha1_reichle,skip_temperature,-0.08251551128673838,0.7791421515880129,14
alpha2_reichle,delta,0.8156619529141206,0.0003759683623137187,14
alpha2_reichle,epsilon,0.9313896212097712,1.2974955749623695e-06,14
alpha2_reichle,M1,-0.09905527277478014,0.7361880631808381,14
alpha2_reichle,M2_eq_I,0.00031156993743292077,0.9991565705792694,14
alpha2_reichle,lambda_refix,-0.7134210704832102,0.004170805460498135,14
alpha2_reichle,refix_pivot,-0.7774300778614681,0.0010656870173677546,14
alpha2_reichle,skip_temperature,-0.06678279153396112,0.8205535306531752,14
delta,epsilon,0.8618243850275771,7.411186405440165e-05,14
delta,M1,-0.07390604397118762,0.8017434397924413,14
delta,M2_eq_I,0.03973441737112391,0.8927201914215761,14
delta,lambda_refix,-0.9111252584080404,5.861098999248942e-06,14
delta,refix_pivot,-0.99345364820199,1.1204383256484887e-12,14
delta,skip_temperature,-0.128132578043109,0.6624474858021653,14
epsilon,M1,-0.19752214931390732,0.4984870221503686,14
epsilon,M2_eq_I,-0.09582422661185802,0.7445271619501236,14
epsilon,lambda_refix,-0.7359963097114011,0.002691054296981636,14
epsilon,refix_pivot,-0.8299116852594995,0.00023974567893787026,14
epsilon,skip_temperature,0.005692590926054063,0.984590810722111,14
M1,M2_eq_I,0.9932269975609364,1.3736238547787775e-12,14
M1,lambda_refix,-0.05991336683107232,0.8387787907339834,14
M1,refix_pivot,0.051112914568077344,0.8622363257100608,14
M1,skip_temperature,-0.9676906915004605,1.531784602742456e-08,14
M2_eq_I,lambda_refix,-0.16143536612394552,0.5813885564730708,14
M2_eq_I,refix_pivot,-0.061671585543185935,0.8341065459160153,14
M2_eq_I,skip_temperature,-0.9840373095598082,2.3079501451196214e-10,14
lambda_refix,refix_pivot,0.9326110273730014,1.1680669961385587e-06,14
lambda_refix,skip_temperature,0.2604309307299537,0.36851814041479225,14
refix_pivot,skip_temperature,0.15586749204411499,0.5946570593618709,14
