direction,corpus,sentence_idx,word_position,word,L1,surprisal,log_freq,word_length,h_TRT,h_FFD,h_Gaze,h_Skip,div
L1_high_surp_low,geco_test,307,25,vindicated,111.43950653076172,1.6844516170676798,3.044522437723423,10,377.2307692307692,253.7692307692308,343.0769230769231,0.0714285714285714,4.294262517750659
L1_high_surp_low,geco_test,467,13,precipitated,144.02017211914062,13.794830083847046,2.4849066497880004,12,858.0769230769231,293.7692307692308,473.7692307692308,0.0,3.6875514119381574
L1_high_surp_low,geco_test,3,9,seventy,117.82476043701172,6.3593590259552,4.653960350157523,7,368.55555555555554,224.0,317.22222222222223,0.3571428571428571,3.6392229749047087
L1_high_surp_low,geco_test,330,37,mallet,98.74559020996094,0.8718176240799949,3.555348061489413,6,254.0,238.0,238.0,0.1428571428571428,3.6207934782573385
L1_high_surp_low,geco_test,386,3,know,97.59107971191406,1.0054377317428589,12.583755372625886,4,259.6,259.6,259.6,0.6428571428571429,3.5111972026328795
L1_high_surp_low,geco_test,282,6,ourselves,125.03044128417967,9.419758796691896,7.892078421248119,9,256.72727272727275,194.1818181818182,245.54545454545453,0.2142857142857142,3.4160486828419985
L1_high_surp_low,geco_test,467,14,strychnine,131.77182006835938,11.781270527280869,3.091042453358316,10,392.8181818181818,237.8181818181818,329.27272727272725,0.1538461538461538,3.324124347180131
L1_high_surp_low,geco_test,268,6,unsatisfactory,109.40741729736328,5.571881502866745,2.8903717578961645,14,402.5,243.28571428571428,382.6428571428572,0.0,3.2505616865991467
L1_low_surp_high,geco_test,461,19,Mademoiselle,34.233036041259766,17.198539356671972,6.0330862217988015,12,299.8181818181818,228.63636363636363,239.1818181818182,0.1538461538461538,-4.567307229846664
L1_low_surp_high,geco_test,55,10,followed,40.05844879150391,17.11793327331543,7.461065514354283,8,338.45454545454544,263.6363636363636,338.45454545454544,0.2142857142857142,-4.152591115196182
L1_low_surp_high,geco_test,353,0,Hes,43.06922149658203,17.632399559020996,4.07753744390572,3,197.57142857142856,169.42857142857142,197.57142857142856,0.5,-4.06780239175115
L1_low_surp_high,geco_test,385,0,Hes,43.06922149658203,17.632399559020996,4.07753744390572,3,210.8,210.8,210.8,0.6428571428571429,-4.06780239175115
L1_low_surp_high,geco_test,400,3,important,9.856597900390623,7.859889030456543,9.26738211234338,9,301.6666666666667,248.25,248.25,0.1428571428571428,-4.0486550456985055
L1_low_surp_high,geco_test,285,1,slowly,41.1606674194336,16.775028228759766,7.153833801578843,6,268.0,235.33333333333331,245.88888888888889,0.3571428571428571,-3.997795630311426
L1_low_surp_high,geco_test,449,8,Mademoiselle,43.90160369873047,16.658337998764182,6.0330862217988015,12,411.8333333333333,222.0,283.1666666666667,0.0769230769230769,-3.784317804718061
L1_low_surp_high,geco_test,418,11,Cavendish,34.68155288696289,13.496082191355526,3.4657359027997265,9,300.6923076923077,204.23076923076923,216.30769230769232,0.0,-3.674327636737262
