participant_id,n_train_sentences,n_train_words,fit_loss,fit_time_seconds,mean_RT,l1_base_offset,l1_freq_coef,alpha1_reichle,alpha2_reichle,delta,epsilon,M1,M2_eq_I,lambda_refix,refix_pivot,skip_temperature
pp21,4494,48234,22.855100489108363,61.714224338531494,203.5841522577435,59.985565185546875,-17.000896453857422,93.98735809326172,3.400179386138916,0.32260292768478394,1.1527066230773926,124.37962341308594,24.425016403198242,0.6825042366981506,8.278396606445312,31.146282196044922
pp22,4494,48234,20.975597032717616,59.43457245826721,134.09084877886968,59.90346908569336,-16.967863082885742,93.83919525146484,3.3935725688934326,0.30638688802719116,1.14251708984375,124.37911224365234,24.423978805541992,0.7071276307106018,8.357260704040527,31.146793365478516
pp23,4494,48234,20.205256978617705,59.44142460823059,104.60361985321558,59.892662048339844,-16.946041107177734,93.78474426269531,3.3892083168029785,0.30487990379333496,1.1404666900634766,124.37911224365234,24.423748016357422,0.7088855504989624,8.361083030700684,31.147266387939453
pp25,3637,37328,20.33141691802064,48.94838786125183,127.57720745820832,59.9135627746582,-16.974258422851562,93.86207580566406,3.3948516845703125,0.30786171555519104,1.1430920362472534,124.40115356445312,24.435962677001953,0.6993924379348755,8.34994888305664,31.140888214111328
pp26,4494,48234,22.337381061576025,61.19521379470825,183.7929468839408,59.96820831298828,-16.985700607299805,93.93960571289062,3.3971402645111084,0.3148747682571411,1.1503865718841553,124.37911987304688,24.424224853515625,0.6978288292884827,8.327125549316406,31.146648406982422
pp27,4236,45774,21.03221356046999,57.83273220062256,191.19432428889763,59.984737396240234,-16.99457550048828,93.97389221191406,3.3989150524139404,0.3189890384674072,1.1523611545562744,124.38595581054688,24.428466796875,0.6839897632598877,8.298332214355469,31.1445369720459
pp28,4494,48234,20.421710626782975,61.39531588554382,189.24530414230625,59.98847198486328,-16.999835968017578,93.98814392089844,3.3999671936035156,0.3216204345226288,1.1531175374984741,124.3798828125,24.425222396850586,0.6903219819068909,8.287174224853516,31.14618682861328
pp29,4494,48234,20.633912174341994,61.286088705062866,136.36563419994195,59.92138671875,-16.97410011291504,93.86958312988281,3.394819974899292,0.30674460530281067,1.1454136371612549,124.37911224365234,24.423938751220703,0.7062562704086304,8.35630989074707,31.14681625366211
pp30,4494,48234,21.634489872639158,61.191598892211914,215.1161006758718,59.98932647705078,-17.00448989868164,93.99830627441406,3.400897979736328,0.32424917817115784,1.1532608270645142,124.3804702758789,24.425535202026367,0.6595081090927124,8.268710136413574,31.145750045776367
pp31,4494,48234,19.31163754567179,61.33491849899292,187.09990877804037,59.8996467590332,-16.98455810546875,93.86875915527344,3.39691162109375,0.3089374005794525,1.1449592113494873,124.37911224365234,24.424097061157227,0.7070232033729553,8.353099822998047,31.14769744873047
pp32,4494,48234,20.368992497775626,61.84577918052673,136.94221918149023,59.908653259277344,-16.975603103637695,93.85986328125,3.395120620727539,0.3067052960395813,1.1437662839889526,124.37911224365234,24.42401123046875,0.7070554494857788,8.357226371765137,31.146831512451172
pp33,4494,48234,20.26496896034991,61.07093071937561,141.02496164531243,59.94113540649414,-16.993087768554688,93.92730712890625,3.3986175060272217,0.30871838331222534,1.1496055126190186,124.37911224365234,24.424123764038086,0.7056617736816406,8.35244083404541,31.14691162109375
pp34,4494,48234,20.566720270717944,60.61399865150452,122.40382302939835,59.97898483276367,-16.991552352905273,93.96208953857422,3.398310422897339,0.30857160687446594,1.1513954401016235,124.37911224365234,24.424083709716797,0.7034140825271606,8.348949432373047,31.146835327148438
pp35,4494,48234,23.319371437782387,59.495983362197876,190.1102956420782,59.98603820800781,-17.000450134277344,93.9869384765625,3.400089979171753,0.3203229606151581,1.1527379751205444,124.37959289550781,24.42490005493164,0.6814216375350952,8.290631294250488,31.146028518676758
