corpus,target,predictor,standardized_beta,se,t,p,r2,adj_r2,n_words
geco_test,ctx_FFD,surprisal,0.12019525351544386,0.010282414136691252,11.689400165914844,0.0,0.644273463166686,0.6440145646682629,5501
geco_test,ctx_FFD,log_freq_norm,0.34380360806328625,0.01428511867117388,24.067256000963567,0.0,0.644273463166686,0.6440145646682629,5501
geco_test,ctx_FFD,word_length,-0.540547722693635,0.013279503634216686,-40.70541622510879,0.0,0.644273463166686,0.6440145646682629,5501
geco_test,ctx_FFD,position_in_sentence,-0.039643826470026296,0.00910150420179322,-4.355744456198294,1.350277947120837e-05,0.644273463166686,0.6440145646682629,5501
geco_test,ctx_skip,surprisal,0.02717527406188272,0.005639320204583185,4.818891830223942,1.4823955651888099e-06,0.8930010315585906,0.8929231574913115,5501
geco_test,ctx_skip,log_freq_norm,0.5560029034148246,0.007834576323838091,70.96783290285742,0.0,0.8930010315585906,0.8929231574913115,5501
geco_test,ctx_skip,word_length,-0.4521195659408823,0.007283053586029924,-62.078297324095054,0.0,0.8930010315585906,0.8929231574913115,5501
geco_test,ctx_skip,position_in_sentence,-0.010212655394566757,0.004991658170440839,-2.045944462912777,0.040809329539389205,0.8930010315585906,0.8929231574913115,5501
provo,ctx_FFD,surprisal,0.14421034755327272,0.01360273413128873,10.60157069611197,0.0,0.6654540761497736,0.6649489105418458,2654
provo,ctx_FFD,log_freq_norm,0.3881446243096473,0.01939093674707351,20.016806272560622,0.0,0.6654540761497736,0.6649489105418458,2654
provo,ctx_FFD,word_length,-0.5264393877514556,0.018349505554953162,-28.68956801995962,0.0,0.6654540761497736,0.6649489105418458,2654
provo,ctx_FFD,position_in_sentence,0.011287750083367945,0.012259468903858081,0.9207372824948123,0.35727144641149966,0.6654540761497736,0.6649489105418458,2654
provo,ctx_skip,surprisal,0.012877019656648836,0.009557652324869081,1.3472994433102297,0.17799904068392092,0.8348396555846551,0.8345902628411062,2654
provo,ctx_skip,log_freq_norm,0.597868247484689,0.013624601487708266,43.88152182095521,0.0,0.8348396555846551,0.8345902628411062,2654
provo,ctx_skip,word_length,-0.36677359486214545,0.01289286350338164,-28.44779941755726,0.0,0.8348396555846551,0.8345902628411062,2654
provo,ctx_skip,position_in_sentence,-0.03423414365046254,0.008613837507939185,-3.9743196477655496,7.246618453304876e-05,0.8348396555846551,0.8345902628411062,2654
