lesion,r_ffd,r_gaze,r_skip,r_trt
const_l1,0.0096893778951087,0.2769104556689893,0.4185376433105549,0.3203821813347635
const_l2,0.1892349638623765,0.3781474205064855,0.4185376433105549,0.4325260689719704
const_skip,0.1892349638623765,0.3789686290109225,0.0436708232143345,0.4332651772880112
full,0.1892349638623765,0.3789686290109225,0.4185376433105549,0.4332651772880112
no_first_word_mask,0.1892349638623765,0.3789686290109225,0.6300609043743074,0.4332651772880112
no_l2_to_ffd,0.1892349638623765,0.3795959806285179,0.4185376433105549,0.4338200089809618
shuffle_l1,-0.0052104815278141,0.2228029021617891,0.4185376433105549,0.2607816120220051
shuffle_l2,0.1892349638623765,0.3778584915678695,0.4185376433105549,0.4324490664770357
swap_l1l2,0.0990473158318265,0.3400786814719791,0.4185376433105549,0.3899678453907269
zero_ctx_FFD,0.155315972932872,0.3431156062692386,0.4185376433105549,0.3976686834404541
zero_ctx_head,0.155315972932872,0.3431156062692386,0.235864457139209,0.3976686834404541
zero_ctx_skip,0.1892349638623765,0.3789686290109225,0.235864457139209,0.4332651772880112
zero_ecc,0.0990551800086206,0.366436419557087,0.4185376433105549,0.4164681332895328
zero_skip_residual,0.1892349638623765,0.3789686290109225,0.5591818707778368,0.4332651772880112
